trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
114,False,"{'a': 0.5, 'e': 1.0}",25,0,-23.73590004406595,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
115,False,"{'a': 0.5, 'e': 1.0}",25,0,-5.654142602232912,"{0: 19, 1: 6, 2: 0, 3: 0, 4: 0}",0
116,False,"{'a': 0.5, 'e': 1.0}",20,0,-11.931162190719572,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
117,False,"{'a': 0.5, 'e': 1.0}",20,0,-19.215345377878368,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
118,False,"{'a': 0.5, 'e': 1.0}",25,0,-35.7112018126363,"{0: 14, 1: 11, 2: 0, 3: 0, 4: 0}",0
119,False,"{'a': 0.5, 'e': 1.0}",25,0,-10.9082937617725,"{0: 17, 1: 8, 2: 0, 3: 0, 4: 0}",0
120,False,"{'a': 0.5, 'e': 1.0}",20,0,-22.4673535495235,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
121,False,"{'a': 0.5, 'e': 1.0}",20,0,-31.6355929911536,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
122,False,"{'a': 0.5, 'e': 1.0}",20,0,-21.638419317644377,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
123,False,"{'a': 0.5, 'e': 1.0}",25,0,-35.37407867240788,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
124,False,"{'a': 0.5, 'e': 1.0}",20,0,-44.28721257426269,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
125,False,"{'a': 0.5, 'e': 1.0}",25,0,-33.228770945630444,"{0: 14, 1: 11, 2: 0, 3: 0, 4: 0}",0
126,False,"{'a': 0.5, 'e': 1.0}",25,0,-30.634598428452982,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
127,False,"{'a': 0.5, 'e': 1.0}",30,0,-25.62438769434638,"{0: 19, 1: 11, 2: 0, 3: 0, 4: 0}",0
128,False,"{'a': 0.5, 'e': 1.0}",20,0,-4.659682913174116,"{0: 15, 1: 5, 2: 0, 3: 0, 4: 0}",0
129,False,"{'a': 0.5, 'e': 1.0}",30,0,-30.457569938933492,"{0: 17, 1: 13, 2: 0, 3: 0, 4: 0}",0
130,False,"{'a': 0.5, 'e': 1.0}",20,0,-8.280127560638775,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
131,False,"{'a': 0.5, 'e': 1.0}",30,0,4.055722972779996,"{0: 24, 1: 6, 2: 0, 3: 0, 4: 0}",0
132,False,"{'a': 0.5, 'e': 1.0}",30,0,-39.16615398357689,"{0: 17, 1: 13, 2: 0, 3: 0, 4: 0}",0
133,False,"{'a': 0.5, 'e': 1.0}",30,0,-36.773701448571146,"{0: 17, 1: 13, 2: 0, 3: 0, 4: 0}",0
134,False,"{'a': 0.5, 'e': 1.0}",25,0,-44.751364064242445,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
135,False,"{'a': 0.5, 'e': 1.0}",20,0,-14.440863272944593,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
136,False,"{'a': 0.5, 'e': 1.0}",20,0,-37.59675360088823,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
