trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
381,False,"{'a': 0.4, 'e': 0.41759450395835795}",25,8,-16.373625444065727,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
382,False,"{'a': 0.4, 'e': 0.4148667283850009}",25,10,-12.962990511978958,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 0}",1
383,False,"{'a': 0.4, 'e': 0.4121352190138885}",25,17,-21.555906346630827,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
384,False,"{'a': 0.4, 'e': 0.40940000042858704}",25,14,14.141515959858511,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
385,False,"{'a': 0.4, 'e': 0.40666109724604504}",25,6,-25.02464496610136,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 0}",1
386,False,"{'a': 0.4, 'e': 0.40391853411637296}",20,0,-12.603977505297843,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
387,False,"{'a': 0.4, 'e': 0.4011723357226203}",30,10,-6.101118769235431,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
388,False,"{'a': 0.4, 'e': 0.3984225267805538}",20,10,5.128363010573935,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
389,False,"{'a': 0.4, 'e': 0.39566913203843584}",30,12,-18.87677391981008,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
390,False,"{'a': 0.4, 'e': 0.39291217627680014}",35,17,-14.46228252500265,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
391,False,"{'a': 0.4, 'e': 0.3901516843082303}",25,0,-69.17694722173636,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
392,False,"{'a': 0.4, 'e': 0.38738768097713494}",20,9,1.4177791365721273,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
393,False,"{'a': 0.4, 'e': 0.38462019115952595}",20,9,-45.42991964798181,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 1}",1
394,False,"{'a': 0.4, 'e': 0.38184923976279245}",25,0,-85.9629017528501,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
395,False,"{'a': 0.4, 'e': 0.3790748517254788}",20,0,-62.58612869166738,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
396,False,"{'a': 0.4, 'e': 0.37629705201705815}",30,4,16.59645214423577,"{0: 24, 1: 0, 2: 2, 3: 0, 4: 0}",1
397,False,"{'a': 0.4, 'e': 0.37351586563770955}",20,0,-23.945942665552554,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
398,False,"{'a': 0.4, 'e': 0.37073131761809125}",25,6,-37.32454405485264,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 0}",1
399,False,"{'a': 0.4, 'e': 0.367943433019117}",20,6,11.12980974146335,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
400,False,"{'a': 0.4, 'e': 0.365152236931729}",30,13,5.112507283971463,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
401,False,"{'a': 0.4, 'e': 0.3623577544766736}",20,7,-52.140776734025906,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 1}",1
402,False,"{'a': 0.4, 'e': 0.35956001080427363}",20,3,-4.817849341851158,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
403,False,"{'a': 0.4, 'e': 0.35675903109420365}",20,11,-2.1684769909499844,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
404,False,"{'a': 0.4, 'e': 0.3539548405552618}",25,0,7.9990275591882245,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",1
405,False,"{'a': 0.4, 'e': 0.3511474644251443}",20,0,-3.2743780099751185,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
406,False,"{'a': 0.4, 'e': 0.348336927970217}",20,12,3.1733655862582237,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
407,False,"{'a': 0.4, 'e': 0.3455232564852894}",20,0,-30.11775875276312,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
408,False,"{'a': 0.4, 'e': 0.3427064752933856}",25,0,-9.846363438923648,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
409,False,"{'a': 0.4, 'e': 0.3398866097455176}",25,5,16.366764074455013,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
410,False,"{'a': 0.4, 'e': 0.3370636852204559}",20,8,19.99619802194956,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
411,False,"{'a': 0.4, 'e': 0.3342377271245026}",20,11,-27.97774394599156,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 0}",1
412,False,"{'a': 0.4, 'e': 0.3314087608912611}",35,9,-24.885450075270043,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 1}",1
413,False,"{'a': 0.4, 'e': 0.3285768119814088}",20,13,14.300648216749174,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
414,False,"{'a': 0.4, 'e': 0.3257419058824663}",25,15,3.9097708577126467,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
415,False,"{'a': 0.4, 'e': 0.3229040681085699}",25,0,1.2025473604120722,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
416,False,"{'a': 0.4, 'e': 0.32006332420023986}",30,18,20.113405423062652,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
417,False,"{'a': 0.4, 'e': 0.3172196997241527}",30,21,16.16685566758006,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
418,False,"{'a': 0.4, 'e': 0.31437322027290904}",25,13,21.484591598931686,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
419,False,"{'a': 0.4, 'e': 0.3115239114648051}",25,1,-49.76330991302347,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 2}",1
420,False,"{'a': 0.4, 'e': 0.3086717989436006}",30,6,31.952596003968527,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 0}",1
421,False,"{'a': 0.4, 'e': 0.30581690837828934}",20,3,7.3104773061882184,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
422,False,"{'a': 0.4, 'e': 0.3029592654628667}",20,11,-36.04138953419091,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
423,False,"{'a': 0.4, 'e': 0.3000988959161001}",20,8,20.132518453843026,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
424,False,"{'a': 0.4, 'e': 0.29723582548129573}",20,12,2.535711278175329,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
425,False,"{'a': 0.4, 'e': 0.29437007992606856}",20,9,19.936710348272193,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
426,False,"{'a': 0.4, 'e': 0.2915016850421088}",25,0,-41.552020610788546,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
427,False,"{'a': 0.4, 'e': 0.2886306666449516}",25,8,-36.885529747014274,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
428,False,"{'a': 0.4, 'e': 0.2857570505737428}",30,12,33.35115903546874,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
429,False,"{'a': 0.4, 'e': 0.2828808626910075}",20,14,11.8957341464288,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
430,False,"{'a': 0.4, 'e': 0.2800021288824176}",20,1,-7.2319895229168765,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
431,False,"{'a': 0.4, 'e': 0.2771208750565576}",25,19,-29.600552856374804,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
432,False,"{'a': 0.4, 'e': 0.27423712714469284}",30,8,9.555086533516647,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
433,False,"{'a': 0.4, 'e': 0.2713509111005347}",20,9,19.9244118480143,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
434,False,"{'a': 0.4, 'e': 0.26846225290000847}",25,12,14.578000944532706,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
435,False,"{'a': 0.4, 'e': 0.265571178541018}",20,0,32.128728892548025,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
436,False,"{'a': 0.4, 'e': 0.26267771404321355}",20,12,13.97481582543843,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
437,False,"{'a': 0.4, 'e': 0.25978188544775555}",20,6,23.106293024846412,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
438,False,"{'a': 0.4, 'e': 0.2568837188170823}",20,12,-27.31576963691171,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
439,False,"{'a': 0.4, 'e': 0.2539832402346734}",20,9,-16.239223502443473,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
440,False,"{'a': 0.4, 'e': 0.25108047580481696}",20,12,2.0707044460300774,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
441,False,"{'a': 0.4, 'e': 0.2481754516523729}",20,10,-2.1238286046836157,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
442,False,"{'a': 0.4, 'e': 0.24526819392253935}",20,8,-21.693709852723376,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
443,False,"{'a': 0.4, 'e': 0.24235872878061585}",25,13,9.477546521111737,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
444,False,"{'a': 0.4, 'e': 0.23944708241176946}",20,11,5.058542613681441,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
445,False,"{'a': 0.4, 'e': 0.2365332810207974}",20,12,13.53326012221057,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
446,False,"{'a': 0.4, 'e': 0.233617350831893}",20,8,13.27144944041613,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
447,False,"{'a': 0.4, 'e': 0.2306993180884078}",20,0,24.6423582667877,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
448,False,"{'a': 0.4, 'e': 0.22777920905261723}",20,8,19.318197409132686,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
449,False,"{'a': 0.4, 'e': 0.22485705000548248}",30,22,3.4302136909074896,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
450,False,"{'a': 0.4, 'e': 0.22193286724641567}",20,6,22.569766931909506,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
451,False,"{'a': 0.4, 'e': 0.2190066870930415}",30,7,12.042620619212098,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 0}",1
452,False,"{'a': 0.4, 'e': 0.21607853588096199}",20,15,10.094793615349197,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
453,False,"{'a': 0.4, 'e': 0.21314843996351787}",25,0,14.759305068854243,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
454,False,"{'a': 0.4, 'e': 0.21021642571155302}",30,4,-10.234439334503195,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 1}",1
455,False,"{'a': 0.4, 'e': 0.20728251951317556}",20,2,-27.116294694477194,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
456,False,"{'a': 0.4, 'e': 0.20434674777352183}",20,7,18.073018255347293,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
457,False,"{'a': 0.4, 'e': 0.20140913691451723}",20,9,21.771635756088433,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
458,False,"{'a': 0.4, 'e': 0.19846971337464017}",20,11,3.770028023530183,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
459,False,"{'a': 0.4, 'e': 0.19552850360868218}",25,14,19.371116076493745,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
460,False,"{'a': 0.4, 'e': 0.19258553408751175}",35,18,21.510330256349956,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
461,False,"{'a': 0.4, 'e': 0.18964083129783424}",30,22,17.432546172935687,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
462,False,"{'a': 0.4, 'e': 0.18669442174195539}",20,9,-22.48759909772695,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
463,False,"{'a': 0.4, 'e': 0.18374633193754078}",20,14,13.530676098868298,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
464,False,"{'a': 0.4, 'e': 0.18079658841737928}",25,17,14.20397342615366,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
465,False,"{'a': 0.4, 'e': 0.17784521772914216}",25,12,-16.841431456938725,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
466,False,"{'a': 0.4, 'e': 0.17489224643514614}",20,0,4.490421884676735,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
467,False,"{'a': 0.4, 'e': 0.17193770111211254}",20,2,18.661119184861413,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
468,False,"{'a': 0.4, 'e': 0.1689816083509297}",20,6,1.6381743021329622,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
469,False,"{'a': 0.4, 'e': 0.1660239947564121}",20,12,-0.25137750007782245,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
470,False,"{'a': 0.4, 'e': 0.16306488694706261}",20,14,12.61591291937057,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
471,False,"{'a': 0.4, 'e': 0.16010431155483126}",20,12,12.832926713829458,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
472,False,"{'a': 0.4, 'e': 0.1571422952248764}",20,16,8.152432334892147,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
